% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 72.94  226.506531     4118300        55           wait4
  8.53   26.491170           7   3566753           sendto
  5.20   16.135240           2   7121854           lseek
  5.02   15.600791           2   7394397    310628 recvfrom
  3.41   10.585178           5   1843257           pwrite64
  2.90    9.008695           3   2484716           pread64
  0.39    1.209857           4    298674      7889 futex
  0.39    1.205510          16     74269           fdatasync
  0.32    0.981938           2    343727       145 epoll_wait
  0.24    0.757947           3    213162           fadvise64
  0.22    0.674346         499      1349           fsync
  0.20    0.614713           3    163719           sync_file_range
  0.04    0.137044           4     29421           kill
  0.04    0.119441           4     24989           write
  0.03    0.100113           6     15153           brk
  0.03    0.098664           3     30766         6 read
  0.03    0.085390           2     38077           rt_sigprocmask
  0.02    0.077151           6     11537      4898 openat
  0.02    0.065771           8      7800        46 pselect6
  0.01    0.021982           3      5925           close
  0.00    0.010304         381        27           clone
  0.00    0.010004           2      3375           setitimer
  0.00    0.008369           9       905       605 unlink
  0.00    0.005468          18       297           link
  0.00    0.005329           7       758       297 newfstatat
  0.00    0.004886           2      1820       204 rt_sigreturn
  0.00    0.001268          17        72           getdents64
  0.00    0.000857           6       141           mmap
  0.00    0.000713           2       331           rt_sigaction
  0.00    0.000683           3       203           getpid
  0.00    0.000559          50        11           rename
  0.00    0.000427           5        79           munmap
  0.00    0.000330           2       134           epoll_ctl
  0.00    0.000259           9        27           setsid
  0.00    0.000176           2        59           epoll_create1
  0.00    0.000130           4        27           access
  0.00    0.000099           3        27           getrandom
  0.00    0.000081           1        42           getrusage
  0.00    0.000066           2        27           signalfd4
  0.00    0.000064           8         8           accept
  0.00    0.000057           2        27           prctl
  0.00    0.000053           3        16           setsockopt
  0.00    0.000033           2        16           fcntl
  0.00    0.000023           2         8           getsockname
  0.00    0.000009           3         3           ioctl
  0.00    0.000004           4         1           chown
  0.00    0.000000           0        27           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00  310.527723          13  23678068    324718 total
