% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 72.94  340.236170      632409       538           wait4
  7.41   34.572277           7   4456867           sendto
  4.67   21.790530           5   4350702           pwrite64
  4.53   21.144283           2   9008579           lseek
  4.36   20.335977           2   9336298    389225 recvfrom
  3.54   16.531720           3   4998155           pread64
  0.60    2.806473           3    842087     69946 futex
  0.41    1.915967          18    100972           fdatasync
  0.35    1.644774           3    428148           fadvise64
  0.31    1.444540           3    441911       529 epoll_wait
  0.27    1.260265         440      2860           fsync
  0.18    0.823525           3    218889           sync_file_range
  0.08    0.357422          85      4160           pwritev
  0.05    0.235063          13     17338           brk
  0.05    0.226812           9     23325       445 pselect6
  0.05    0.218891           4     50610     35810 openat
  0.04    0.202534           4     43326           kill
  0.04    0.182079           3     56683        12 read
  0.03    0.153651           4     31045           write
  0.02    0.113359           2     48313           rt_sigprocmask
  0.02    0.107134         398       269           clone
  0.01    0.052190           3     14217           close
  0.00    0.018144          10      1750      1149 unlink
  0.00    0.014233           3      4531           setitimer
  0.00    0.012873           5      2351       591 newfstatat
  0.00    0.011235          19       591           link
  0.00    0.010097           3      3138       997 rt_sigreturn
  0.00    0.007247           2      3230           rt_sigaction
  0.00    0.005719           5       986           mmap
  0.00    0.005667           2      2192           getpid
  0.00    0.004091           9       434           munmap
  0.00    0.003218           2      1408           epoll_ctl
  0.00    0.002892          10       269           setsid
  0.00    0.001999          15       128           getdents64
  0.00    0.001775           6       294        25 access
  0.00    0.001550           2       617           epoll_create1
  0.00    0.001000          11        87           accept
  0.00    0.000976          34        28           rename
  0.00    0.000773           4       174           setsockopt
  0.00    0.000758           2       269           signalfd4
  0.00    0.000651           2       269           prctl
  0.00    0.000503           1       269           getrandom
  0.00    0.000361           4        87           getsockname
  0.00    0.000361           2       174           fcntl
  0.00    0.000239           2        90           getrusage
  0.00    0.000057           0       269           set_robust_list
  0.00    0.000050          25         2           utimensat
  0.00    0.000003           1         3           ioctl
  0.00    0.000002           2         1           chown
  0.00    0.000000           0         2           ftruncate
------ ----------- ----------- --------- --------- ----------------
100.00  466.462110          13  34498935    498729 total
